"","id","first_name","surname","handballs","deb","games"
"263",556,"Ben","Graham",3,1994-06-04,42
"264",558,"Tim","McGrath",4,1991-07-26,42
"265",758,"Ross","Smith",3,1984-04-28,42
"266",922,"Peter","Everitt",4,1993-04-25,42
"267",1012,"Adam","Goodes",5,1999-05-02,42
"268",1034,"Ashley","McIntosh",4,1991-06-09,42
"269",1311,"Terry","Daniher",3,1977-04-09,42
"270",1319,"Michael","Tuck",2,1972-05-20,42
"271",1638,"Max","Crow",1,1974-06-08,42
"272",1845,"Jim","Jess",4,1976-07-03,42
"273",1859,"Wayne","Judson",1,1971-05-08,42
"274",1861,"Merv","Keane",3,1973-05-12,42
"275",1931,"Mark","MacLure",3,1974-07-20,42
"276",1999,"Kelvin","Moore",3,1974-06-01,42
"277",2003,"Kevin","Morris",2,1971-07-10,42
"278",2066,"Val","Perovic",2,1973-07-07,42
"279",2145,"Wayne","Schimmelbusch",3,1973-04-21,42
"280",4060,"Eddie","Betts",3,2005-06-04,42
"281",4086,"Travis","Cloke",4,2005-05-01,42
"282",11576,"Jack","Riewoldt",4,2007-07-22,42
"283",10,"Sean","Wellman",3,1994-04-30,41
"284",119,"Jason","Akermanis",4,1995-06-11,41
"285",210,"Gary","Pert",3,1982-08-21,41
"286",215,"Paul","Williams",5,1991-07-20,41
"287",251,"Anthony","Rocca",1,1995-05-28,41
"288",297,"Shane","Wakelin",1,1994-05-22,41
"289",381,"Jeff","Hogg",3,1986-04-19,41
"290",567,"Gary","Ablett",0,1982-04-24,41
"291",615,"Cameron","Mooney",4,2002-03-30,41
"292",649,"Daniel","Chick",4,1996-03-30,41
"293",757,"Mick","Martyn",4,1988-06-10,41
"294",762,"John","Blakey",5,1985-08-17,41
"295",772,"Anthony","Stevens",4,1990-04-15,41
"296",794,"Shannon","Grant",4,1995-04-16,41
"297",855,"Darryl","Wakelin",4,1995-05-27,41
"298",867,"Stuart","Maxfield",4,1992-03-28,41
"299",873,"Nick","Daffy",3,1992-03-28,41
"300",918,"Danny","Frawley",3,1984-04-23,41
"301",955,"Max","Hudghton",3,1997-05-04,41
"302",981,"Nick","Riewoldt",2,2002-03-30,41
"303",1012,"Adam","Goodes",2,1999-04-10,41
"304",1092,"Jonathan","Brown",5,2000-04-15,41
"305",1119,"Ted","Richards",5,2002-04-05,41
"306",1156,"Campbell","Brown",4,2002-08-09,41
"307",1311,"Terry","Daniher",5,1979-04-28,41
"308",1477,"Geoff","Ablett",3,1973-07-28,41
"309",1551,"Terry","Bright",3,1976-07-24,41
"310",1956,"Stephen","McCann",2,1977-10-01,41
"311",1957,"Peter","McCormack",2,1978-05-20,41
"312",2133,"Barry","Rowlings",4,1975-07-19,41
"313",3958,"Andrew","Mackie",5,2004-05-02,41
"314",4065,"Lance","Franklin",4,2005-04-03,41
"315",11605,"Will","Schofield",3,2007-08-12,41
"316",98,"Justin","Leppitsch",4,1993-03-27,40
"317",107,"Roger","Merrett",1,1978-04-01,40
"318",145,"Earl","Spalding",5,1987-04-11,40
"319",150,"Justin","Madden",5,1981-05-09,40
"320",251,"Anthony","Rocca",4,1997-04-04,40
"321",255,"Mal","Michael",4,1997-05-09,40
"322",299,"James","Clement",3,1996-06-16,40
"323",303,"Gavin","Wanganeen",2,1991-04-19,40
"324",303,"Gavin","Wanganeen",5,1991-04-06,40
"325",373,"Martin","Pike",3,1993-04-11,40
"326",373,"Martin","Pike",4,1993-04-25,40
"327",459,"Simon","Garlick",3,1994-08-07,40
"328",468,"Robert","Murphy",4,2002-06-01,40
"329",560,"Peter","Riccardi",3,1992-04-12,40
"330",658,"Ben","Dixon",3,1997-06-07,40
"331",677,"Luke","McPharlin",4,2000-04-16,40
"332",775,"Corey","McKernan",2,1995-04-15,40
"333",775,"Corey","McKernan",3,1994-05-14,40
"334",870,"Matthew","Richardson",3,1993-07-04,40
"335",927,"Stewart","Loewe",5,1986-06-07,40
"336",976,"Fraser","Gehrig",1,1995-05-06,40
"337",1109,"Paul","Medhurst",1,2002-04-14,40
"338",1238,"Anthony","Daniher",2,1981-04-25,40
"339",1287,"Neville","Bruns",3,1979-04-28,40
"340",1287,"Neville","Bruns",4,1979-08-25,40
"341",1313,"Bernard","Toohey",2,1981-05-09,40
"342",1313,"Bernard","Toohey",5,1981-05-16,40
"343",1390,"John","Law",1,1978-07-15,40
"344",1418,"Jarrad","Waite",3,2003-03-29,40
"345",1445,"David","Hale",3,2004-04-18,40
"346",1492,"Rodney","Ashman",4,1974-04-06,40
"347",1557,"Mark","Browning",4,1975-05-10,40
"348",1662,"Robert","Dean",1,1970-04-11,40
"349",1662,"Robert","Dean",2,1970-05-02,40
"350",2000,"Peter","Moore",2,1974-08-24,40
"351",2076,"Bill","Picken",1,1974-05-11,40
"352",2178,"Steven","Smith",2,1974-07-13,40
"353",2290,"Bryan","Wood",4,1972-06-03,40
"354",3955,"Brett","Ebert",2,2004-05-08,40
"355",4065,"Lance","Franklin",5,2005-04-29,40
"356",11548,"Tom","Hawkins",4,2007-04-29,40
"357",11579,"Justin","Westhoff",5,2007-06-30,40
"358",34,"Tyson","Edwards",5,1995-08-05,39
"359",78,"Matthew","Clarke",4,1994-04-17,39
"360",107,"Roger","Merrett",2,1980-05-17,39
"361",117,"Matthew","Kennedy",2,1990-05-20,39
"362",173,"Lance","Whitnall",3,1997-05-30,39
"363",314,"Paul","Salmon",3,1983-04-04,39
"364",379,"Stephen","Paxman",3,1991-05-03,39
"365",381,"Jeff","Hogg",2,1986-05-31,39
"366",501,"Shane","Parker",5,1995-05-07,39
"367",504,"Shaun","McManus",5,1995-05-14,39
"368",584,"Barry","Stoneham",2,1986-05-10,39
"369",584,"Barry","Stoneham",4,1987-07-25,39
"370",649,"Daniel","Chick",3,1996-04-06,39
"371",689,"David","Neitz",0,1993-05-08,39
"372",714,"Adem","Yze",2,1996-04-26,39
"373",777,"Glenn","Archer",5,1993-07-09,39
"374",778,"Ian","Fairley",3,1985-07-06,39
"375",855,"Darryl","Wakelin",5,1995-04-09,39
"376",929,"Austinn","Jones",4,1995-04-02,39
"377",981,"Nick","Riewoldt",3,2001-09-01,39
"378",1039,"Chris","Lewis",3,1987-04-12,39
"379",1040,"Peter","Matera",5,1990-05-20,39
"380",1053,"David","Wirrpanda",2,1996-05-25,39
